Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Mon, 15 Jun 2020 05:32:00 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2000-0097-AUS,2000,0097,Natural,Meteorological,Storm,Tropical cyclone,,Steve,Declar/Int,Australia,AUS,Australia and New Zealand,Oceania,"Cairns, Tablelands districts (Queensland province), New South Wales province",,Flood,,,,Yes,,120,Kph,,,,,2000,2,27,2000,3,13,1,,200,,200,,10000,90000,67.35575898
2000-0557-CHN,2000,0557,Natural,Meteorological,Storm,Tropical cyclone,,Maria,Kill,China,CHN,Eastern Asia,Asia,"Hunan Sheng, Guangdong Sheng provinces",,Flood,,,,,,160,Kph,,,,,2000,9,1,2000,9,6,47,,46000,,46000,,,169000,67.35575898
2000-0214-AUS,2000,0214,Natural,Meteorological,Storm,Tropical cyclone,,Tessi,Affect,Australia,AUS,Australia and New Zealand,Oceania,Townsville district (Queensland province),,,,,,,,130,Kph,,,,,2000,4,3,2000,4,3,,,400,,400,,,60000,67.35575898
2000-0843-AUS,2000,0843,Natural,Meteorological,Storm,Tropical cyclone,,Sam,Affect,Australia,AUS,Australia and New Zealand,Oceania,"Bidyadanga area (Broome district, Western Australia province)",,,,,,,,280,Kph,,,,,2000,12,7,2000,12,7,,,750,,750,,,,67.35575898
2000-0211-BGD,2000,0211,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province)",,,,,,,,120,Kph,,,,,2000,4,21,2000,4,21,20,300,,62500,62800,,,,67.35575898
2000-0229-BGD,2000,0229,Natural,Meteorological,Storm,Tropical cyclone,,,Affect,Bangladesh,BGD,Southern Asia,Asia,"Maulvibazar district (Sylhet province), Netrakona district (Dhaka province)",,,,,,,,80,Kph,,,,,2000,4,11,2000,4,11,,12,,7000,7012,,,,67.35575898
2000-0713-BGD,2000,0713,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province)",,,,,,,,100,Kph,,,,,2000,10,28,2000,10,28,15,200,,,200,,,,67.35575898
2000-0642-BLZ,2000,0642,Natural,Meteorological,Storm,Tropical cyclone,,Keith,Kill,Belize,BLZ,Central America,Americas,"San Pedro and Belize cities, Cay Caulker and Ambergris Caye islands (Belize province), Corozal, Cayo, Orange Walk provinces",,,,Yes,,,2628,215,Kph,,,,,2000,9,30,2000,10,3,14,570,62000,,62570,,,277460,67.35575898
2000-0533-CHN,2000,0533,Natural,Meteorological,Storm,Tropical cyclone,,Bilis,Kill,China,CHN,Eastern Asia,Asia,"Leqing Shi area (Wenzhou district, Zhejiang Sheng province), Fuzhou district (Fujian Sheng province)",,,,,,,,,Kph,,,,,2000,8,23,2000,8,23,11,47,,4475,4522,,,69443,67.35575898
