latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
39.03448,-122.12065,340.6,0.39,0.44,2016-07-20,0937,N,VIIRS,n,1,291.4,3,0
39.10006,-122.79016,298.5,0.42,0.45,2016-07-20,0937,N,VIIRS,n,1,286.5,0.7,0
39.03046,-122.12132,302.8,0.39,0.44,2016-07-20,0937,N,VIIRS,n,1,287.5,3,0
38.07158,-122.13715,304.1,0.57,0.43,2016-07-20,0937,N,VIIRS,n,1,292.1,1.5,3
38.00318,-121.93267,302.5,0.55,0.43,2016-07-20,0937,N,VIIRS,n,1,286.9,0.5,2
38.0147,-122.11408,303.1,0.56,0.43,2016-07-20,0937,N,VIIRS,n,1,290.8,1.7,2
37.88482,-121.18747,295.6,0.51,0.41,2016-07-20,0937,N,VIIRS,n,1,285.3,0.4,2
37.95038,-122.39778,304.5,0.39,0.44,2016-07-20,0937,N,VIIRS,n,1,291.2,1.3,3
37.95068,-122.40053,303.4,0.39,0.44,2016-07-20,0937,N,VIIRS,n,1,290.6,1.5,3
37.59447,-119.5579,298.1,0.44,0.38,2016-07-20,0937,N,VIIRS,n,1,282,0.6,0
37.4366,-120.55411,314.7,0.47,0.4,2016-07-20,0938,N,VIIRS,n,1,288.6,1.3,0
37.43295,-120.55482,317.4,0.47,0.4,2016-07-20,0938,N,VIIRS,n,1,287.8,2.1,0
37.31861,-122.09035,299.8,0.55,0.43,2016-07-20,0938,N,VIIRS,n,1,287.5,0.8,2
37.18274,-121.67829,296.5,0.53,0.42,2016-07-20,0938,N,VIIRS,n,1,285.6,0.6,2
36.72432,-120.1328,302.2,0.45,0.39,2016-07-20,0938,N,VIIRS,n,1,289.9,0.4,0
34.89745,-116.8067,313.5,0.38,0.36,2016-07-20,0938,N,VIIRS,n,1,293.5,0.7,0
35.12151,-118.36734,300,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,288.4,0.9,2
34.62153,-117.09966,326.4,0.38,0.36,2016-07-20,0938,N,VIIRS,n,1,298.1,2.2,2
34.35489,-116.85328,311.1,0.38,0.36,2016-07-20,0938,N,VIIRS,n,1,295.9,1,2
34.33591,-118.51834,304,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,290.7,0.5,2
34.32135,-118.51277,302.2,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,289.1,0.5,2
34.2437,-118.38132,308.5,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,290.8,0.6,2
34.29092,-118.80135,304.2,0.4,0.37,2016-07-20,0938,N,VIIRS,n,1,288.8,0.6,2
34.09458,-117.52991,331.7,0.38,0.36,2016-07-20,0938,N,VIIRS,n,1,294,2.8,2
34.09522,-117.53406,303.5,0.38,0.36,2016-07-20,0938,N,VIIRS,n,1,293.3,0.8,2
34.09168,-117.52869,329.2,0.38,0.36,2016-07-20,0938,N,VIIRS,n,1,292.6,1.9,2
34.15241,-118.19487,301.6,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,291.2,0.5,2
33.85133,-118.33353,303.8,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,293.4,1.7,2
33.821,-118.2452,305.2,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,294,1.7,2
33.80382,-118.24461,306.1,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,294.4,0.9,2
33.71582,-117.71106,304.3,0.38,0.36,2016-07-20,0938,N,VIIRS,n,1,289.9,0.7,2
33.77877,-118.23712,307.5,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,295.9,1.2,2
33.77752,-118.22878,307.4,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,293.5,1.1,2
33.79225,-118.35046,307.7,0.39,0.36,2016-07-20,0938,N,VIIRS,n,1,288.8,0.6,2
33.61436,-117.82133,301,0.38,0.36,2016-07-20,0938,N,VIIRS,n,1,288.9,0.4,2
33.37294,-117.41124,367,0.39,0.36,2016-07-20,2057,N,VIIRS,h,1,321.6,27.2,0
36.87018,-119.13183,347.8,0.39,0.36,2016-07-20,2058,N,VIIRS,n,1,313.4,5.7,0
37.59377,-119.55541,338.8,0.39,0.36,2016-07-20,2058,N,VIIRS,n,1,309.2,4.9,0
39.03197,-122.12164,350.1,0.4,0.37,2016-07-20,2059,N,VIIRS,n,1,324.7,14.5,0
39.22246,-122.10024,354,0.39,0.37,2016-07-20,2059,N,VIIRS,l,1,328.7,60.9,0
39.22171,-122.10478,304.5,0.4,0.37,2016-07-20,2059,N,VIIRS,l,1,305,40,3
39.22652,-122.09663,338,0.39,0.37,2016-07-20,2059,N,VIIRS,n,1,302.2,60.9,0
39.22577,-122.10116,356,0.39,0.37,2016-07-20,2059,N,VIIRS,n,1,306.9,60.9,0
39.24717,-122.09756,334.8,0.39,0.37,2016-07-20,2059,N,VIIRS,l,1,308.5,6.3,3
39.25049,-122.09847,344.5,0.39,0.37,2016-07-20,2059,N,VIIRS,n,1,314.6,14.9,0
39.24974,-122.10299,332.4,0.39,0.37,2016-07-20,2059,N,VIIRS,l,1,304.9,8.4,0
39.2538,-122.09937,337.7,0.39,0.37,2016-07-20,2059,N,VIIRS,n,1,308.6,14.9,0
39.55495,-122.00665,352.4,0.39,0.36,2016-07-20,2059,N,VIIRS,n,1,321.8,10.1,0
40.85572,-123.67108,298.3,0.43,0.62,2016-07-21,0918,N,VIIRS,n,1,284.6,0.8,0
40.85551,-123.67062,298.3,0.43,0.62,2016-07-21,0918,N,VIIRS,n,1,284.6,0.5,0
40.85536,-123.66709,295.3,0.43,0.62,2016-07-21,0918,N,VIIRS,n,1,284.7,0.5,0
39.03299,-122.12231,329.7,0.34,0.56,2016-07-21,0918,N,VIIRS,n,1,290.7,2.7,0
39.03275,-122.11833,300.4,0.34,0.56,2016-07-21,0918,N,VIIRS,n,1,288.3,1.4,0
38.07225,-122.14033,305.8,0.34,0.56,2016-07-21,0919,N,VIIRS,n,1,292.5,1.2,2
38.02584,-122.06364,302.7,0.33,0.55,2016-07-21,0919,N,VIIRS,n,1,292.1,0.9,2
38.02504,-122.06547,302.6,0.33,0.55,2016-07-21,0919,N,VIIRS,n,1,291.4,1.4,2
38.02478,-122.0616,301.2,0.33,0.55,2016-07-21,0919,N,VIIRS,n,1,290.8,0.9,2
38.00586,-121.93448,301.6,0.33,0.55,2016-07-21,0919,N,VIIRS,n,1,288,0.4,2
34.32341,-118.52908,303,0.39,0.44,2016-07-21,0919,N,VIIRS,n,1,291,0.8,2
34.29026,-118.80225,300.9,0.4,0.44,2016-07-21,0919,N,VIIRS,n,1,288.8,0.4,2
34.24205,-118.38168,302.5,0.38,0.43,2016-07-21,0919,N,VIIRS,n,1,289.4,0.4,2
34.03469,-118.10697,301.5,0.55,0.43,2016-07-21,0920,N,VIIRS,n,1,290.6,0.6,2
33.7933,-117.47532,305.4,0.51,0.41,2016-07-21,0920,N,VIIRS,n,1,292.1,0.8,2
33.81996,-118.24345,305.9,0.56,0.43,2016-07-21,0920,N,VIIRS,n,1,293.9,1.6,2
33.77518,-118.22664,306.7,0.56,0.43,2016-07-21,0920,N,VIIRS,n,1,293.2,1.5,2
39.03286,-122.12146,328.5,0.48,0.64,2016-07-21,1059,N,VIIRS,n,1,287.7,3.2,0
38.0704,-122.13763,301.4,0.5,0.66,2016-07-21,1059,N,VIIRS,n,1,289.8,1.6,2
38.02234,-122.06393,299.3,0.51,0.66,2016-07-21,1059,N,VIIRS,n,1,288.5,0.9,2
38.01648,-122.11173,302.9,0.51,0.66,2016-07-21,1059,N,VIIRS,n,1,290.2,2,2
37.27543,-119.6639,367,0.48,0.4,2016-07-21,2040,N,VIIRS,h,1,325.7,170.1,0
38.2956,-122.31601,350,0.41,0.45,2016-07-21,2040,N,VIIRS,n,1,307.4,5.2,0
38.29364,-122.31744,345.6,0.41,0.45,2016-07-21,2040,N,VIIRS,n,1,308.6,2.6,0
38.87357,-121.59607,333.3,0.55,0.43,2016-07-21,2040,N,VIIRS,l,1,306.8,3.8,0
39.03334,-122.12041,353.5,0.38,0.43,2016-07-21,2040,N,VIIRS,n,1,320.6,11.9,0
39.03171,-122.12593,303.2,0.61,0.71,2016-07-22,0859,N,VIIRS,n,1,287.4,1.1,0
38.0727,-122.14379,304.5,0.61,0.71,2016-07-22,0900,N,VIIRS,n,1,292,1.4,2
38.02423,-122.06809,301.9,0.6,0.71,2016-07-22,0900,N,VIIRS,n,1,290.7,0.9,2
37.94887,-122.40221,299.5,0.63,0.72,2016-07-22,0900,N,VIIRS,n,1,288.9,1.7,2
34.31828,-118.51279,306.6,0.36,0.57,2016-07-22,0901,N,VIIRS,n,1,295.8,1,2
34.24148,-118.38123,302,0.35,0.57,2016-07-22,0901,N,VIIRS,n,1,291.3,0.2,2
34.09587,-117.52877,306.2,0.63,0.54,2016-07-22,0901,N,VIIRS,n,1,292.7,1.4,2
