latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.4591,-121.9065,338.3,1,1,2016-07-22,2124,Aqua,MODIS,81,6.2,309.9,29.7,D,0
36.4606,-121.8953,372.5,1,1,2016-07-22,2124,Aqua,MODIS,100,6.2,316,120.2,D,0
36.4464,-121.8678,310.6,2.7,1.6,2016-07-23,0650,Terra,MODIS,81,6.2,293.6,42.5,N,0
36.429,-121.9168,326.8,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,288.1,113.5,N,3
36.4306,-121.8916,351.3,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,301.3,276.3,N,0
36.4322,-121.8662,334.1,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,298.1,147.4,N,0
36.4692,-121.8902,332.5,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,293.3,135.7,N,0
36.4532,-121.9146,325.5,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,290.2,97.9,N,0
36.455,-121.8891,333.8,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,295.4,142.4,N,0
36.4408,-121.8872,353.7,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,300.8,300.3,N,0
36.4426,-121.8611,306.5,2.7,1.6,2016-07-23,0650,Terra,MODIS,68,6.2,293.1,31.1,N,0
36.4266,-121.8855,370.6,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,303.3,495.8,N,0
36.4284,-121.8596,344.1,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,297,211.9,N,0
36.4125,-121.8825,427,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,311.4,1947.2,N,0
36.4143,-121.8561,387.6,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,301.6,799.3,N,0
36.3984,-121.8799,305.1,2.7,1.6,2016-07-23,0650,Terra,MODIS,63,6.2,291,25.2,N,0
36.459,-121.8947,335.6,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,295.5,159.2,N,0
36.4448,-121.8936,355.5,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,299.7,322,N,0
36.4732,-121.8966,329.9,2.7,1.6,2016-07-23,0650,Terra,MODIS,100,6.2,292.4,125.4,N,0
36.4607,-121.8679,304.5,2.7,1.6,2016-07-23,0650,Terra,MODIS,60,6.2,291.5,28.7,N,0
36.4281,-121.8308,306.9,3.1,1.7,2016-07-23,0926,Aqua,MODIS,33,6.2,293.3,36.2,N,0
36.4307,-121.87,321.2,3.2,1.7,2016-07-23,0926,Aqua,MODIS,100,6.2,293.9,95.4,N,0
36.4157,-121.8745,340,3.2,1.7,2016-07-23,0926,Aqua,MODIS,100,6.2,293,228.5,N,0
36.413,-121.8332,318.3,3.1,1.7,2016-07-23,0926,Aqua,MODIS,97,6.2,294.5,84,N,0
36.427,-121.8608,330.1,3.2,1.7,2016-07-23,0926,Aqua,MODIS,100,6.2,296.7,147.6,N,0
36.4121,-121.8661,340.5,3.2,1.7,2016-07-23,0926,Aqua,MODIS,100,6.2,293.2,233.1,N,0
36.4048,-121.8512,351.2,1.1,1.1,2016-07-23,1852,Terra,MODIS,94,6.2,305.8,64.2,D,0
36.408,-121.8765,350.9,1.1,1.1,2016-07-23,1852,Terra,MODIS,90,6.2,302,63,D,0
36.4096,-121.8892,369.2,1.1,1.1,2016-07-23,1852,Terra,MODIS,94,6.2,298.2,121.1,D,0
36.436,-121.87,450.4,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,340.3,818.1,D,0
36.4141,-121.849,334.2,1.1,1.1,2016-07-23,1852,Terra,MODIS,75,6.2,307.4,27.1,D,0
36.4157,-121.8618,372.6,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,311.4,131.4,D,0
36.4189,-121.887,364.4,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,305.5,99.6,D,0
36.4235,-121.8469,337.8,1.1,1.1,2016-07-23,1852,Terra,MODIS,81,6.2,307.5,32.6,D,0
36.425,-121.8594,466.5,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,334.9,1090.7,D,0
36.4266,-121.8721,372.1,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,312.1,125.4,D,0
36.4343,-121.8571,444,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,330.9,726.8,D,0
36.3877,-121.8678,347.1,1.1,1.1,2016-07-23,1852,Terra,MODIS,91,6.2,296.2,60.6,D,0
36.4409,-121.9086,336.9,1.1,1.1,2016-07-23,1852,Terra,MODIS,38,6.2,305.4,22.4,D,0
36.4453,-121.868,378.2,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,316.6,151.2,D,0
36.447,-121.8809,352.3,1.1,1.1,2016-07-23,1852,Terra,MODIS,95,6.2,312.4,58.6,D,0
36.4502,-121.9064,345.1,1.1,1.1,2016-07-23,1852,Terra,MODIS,84,6.2,314.8,39.1,D,0
36.4547,-121.8663,389.6,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,312.7,211.7,D,0
36.4563,-121.8789,420.7,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,323,450.3,D,0
36.4706,-121.9153,355.6,1.1,1.1,2016-07-23,1852,Terra,MODIS,67,6.2,309.5,72.5,D,0
36.4784,-121.9011,348.8,1.1,1.1,2016-07-23,1852,Terra,MODIS,82,6.2,312.2,57.2,D,0
36.3954,-121.8527,327.6,1.1,1.1,2016-07-23,1852,Terra,MODIS,54,6.2,302.5,21.2,D,0
36.397,-121.8658,385,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,306.1,196.1,D,0
36.3986,-121.8786,326.1,1.1,1.1,2016-07-23,1852,Terra,MODIS,32,6.2,294.7,20.8,D,0
36.4064,-121.8639,384.5,1.1,1.1,2016-07-23,1852,Terra,MODIS,100,6.2,311.9,190.3,D,0
36.3934,-121.8636,353.3,4.1,1.9,2016-07-23,2029,Aqua,MODIS,0,6.2,301.1,488.7,D,0
36.4101,-121.8231,349.1,4.1,1.9,2016-07-23,2029,Aqua,MODIS,81,6.2,302.1,405.6,D,0
36.404,-121.8558,346,4.3,1.9,2016-07-23,2207,Aqua,MODIS,70,6.2,307.5,381.8,D,0
36.4211,-121.8587,381,4.3,1.9,2016-07-23,2207,Aqua,MODIS,75,6.2,316,1209.3,D,0
36.4081,-121.8624,349.6,4.3,1.9,2016-07-23,2207,Aqua,MODIS,72,6.2,309,436.7,D,0
36.4422,-121.8683,342.4,4.3,1.9,2016-07-23,2207,Aqua,MODIS,69,6.2,308.8,298.5,D,0
36.4251,-121.8668,380.5,4.3,1.9,2016-07-23,2207,Aqua,MODIS,75,6.2,318.6,1180.3,D,0
36.4269,-121.8229,328.5,4.3,1.9,2016-07-23,2207,Aqua,MODIS,81,6.2,305.2,140.7,D,0
36.4594,-121.8686,321.3,4.3,1.9,2016-07-23,2207,Aqua,MODIS,49,6.2,306,81.9,D,0
36.4437,-121.8726,338.8,4.3,1.9,2016-07-23,2207,Aqua,MODIS,67,6.2,309.3,248.7,D,0
36.4764,-121.9137,320.6,4.2,1.9,2016-07-23,2207,Aqua,MODIS,0,6.2,305.3,89.1,D,0
36.4609,-121.8726,320.2,4.3,1.9,2016-07-23,2207,Aqua,MODIS,40,6.2,306.1,73.4,D,0
36.415,-121.8508,438.9,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,327,924.9,N,0
36.3962,-121.8554,391.7,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,309.6,328.8,N,0
36.3991,-121.839,362.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,306.1,146,N,0
36.4021,-121.8227,306.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,30,6.2,295.4,7.9,N,0
36.3887,-121.8371,415.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,315.2,575.3,N,0
36.3918,-121.8205,323.3,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,297.4,29.2,N,0
36.3814,-121.8182,309.2,1.4,1.2,2016-07-24,0555,Terra,MODIS,77,6.2,297.3,10.4,N,0
36.3785,-121.8346,380.9,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,304.5,248.7,N,0
36.3755,-121.851,322.4,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,295.3,28.4,N,0
36.3859,-121.853,417.6,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,313.5,601.7,N,0
36.3829,-121.8694,314.5,1.4,1.2,2016-07-24,0555,Terra,MODIS,64,6.2,290.3,17.6,N,0
36.4832,-121.9273,305.7,1.4,1.2,2016-07-24,0555,Terra,MODIS,46,6.2,286.7,11.2,N,0
36.4733,-121.8848,321,1.4,1.2,2016-07-24,0555,Terra,MODIS,53,6.2,295.1,27.5,N,0
36.4632,-121.8812,320.6,1.4,1.2,2016-07-24,0555,Terra,MODIS,40,6.2,296.3,25.7,N,0
36.4428,-121.8751,357.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,298.7,124.3,N,0
36.4458,-121.8587,376.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,301.6,222,N,0
36.4326,-121.8718,340.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,299.2,66.1,N,0
36.4356,-121.8557,364.9,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,306.9,156.2,N,0
36.4253,-121.8532,357.3,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,302.9,123.7,N,0
36.4282,-121.8375,305.6,1.4,1.2,2016-07-24,0555,Terra,MODIS,65,6.2,295.4,8.3,N,0
36.4119,-121.8672,329.6,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,299,40.5,N,0
36.418,-121.8347,377.2,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,302.1,224.8,N,0
36.4016,-121.8647,350.5,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,299.1,95.6,N,0
36.4046,-121.8484,361.2,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,306,137.3,N,0
36.4077,-121.8319,323.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,297.8,30.6,N,0
36.4063,-121.8591,352.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,301.8,105.4,N,0
36.4092,-121.8429,383.8,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,312.2,266.9,N,0
36.3931,-121.8722,331.4,1.4,1.2,2016-07-24,0555,Terra,MODIS,100,6.2,292.1,44.2,N,0
36.402,-121.821,318.5,1,1,2016-07-24,1009,Aqua,MODIS,97,6.2,296.7,13.8,N,0
36.3997,-121.8667,320,1,1,2016-07-24,1009,Aqua,MODIS,82,6.2,289.6,17.5,N,0
36.3981,-121.8558,366.1,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,304.7,103.5,N,0
36.3964,-121.8449,328,1,1,2016-07-24,1009,Aqua,MODIS,95,6.2,303.4,24.8,N,0
36.3948,-121.8339,393.6,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,309.6,215.8,N,0
36.3859,-121.8358,386.5,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,311.6,180.4,N,0
36.3769,-121.8378,323.1,1,1,2016-07-24,1009,Aqua,MODIS,97,6.2,295.9,18.7,N,0
36.3558,-121.8199,346.5,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,301.9,53.8,N,0
36.3575,-121.8309,348,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,301.1,56.9,N,0
36.3931,-121.8229,394.8,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,311.7,223.1,N,0
36.3892,-121.8577,340.8,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,293.9,44.9,N,0
36.3875,-121.8468,376.3,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,308.6,138.8,N,0
36.3842,-121.8248,350.3,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,304.7,60.7,N,0
36.3753,-121.8269,310.7,1,1,2016-07-24,1009,Aqua,MODIS,47,6.2,297.2,7.1,N,0
36.4354,-121.8589,326.6,1,1,2016-07-24,1009,Aqua,MODIS,97,6.2,296.2,25.5,N,0
36.4443,-121.851,333.4,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,301.1,31.8,N,0
36.446,-121.862,325.4,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,299,21.8,N,0
36.4654,-121.8688,312.4,1,1,2016-07-24,1009,Aqua,MODIS,19,6.2,296.6,10.1,N,0
36.4671,-121.8798,345,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,300.4,51.9,N,0
36.4688,-121.8908,313,1,1,2016-07-24,1009,Aqua,MODIS,55,6.2,290.9,11.4,N,0
36.4776,-121.8887,307.2,1,1,2016-07-24,1009,Aqua,MODIS,52,6.2,292.6,8.5,N,0
36.4337,-121.8478,342.5,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,300.6,48.5,N,0
36.4248,-121.8498,362.7,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,302.5,94.1,N,0
36.4231,-121.8389,402,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,308.7,266.2,N,0
36.4215,-121.8279,340.5,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,298.8,44.4,N,0
36.4142,-121.8408,430.3,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,313.5,491.4,N,0
36.4126,-121.8298,403.4,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,305.3,273.2,N,0
36.4103,-121.8757,306,1,1,2016-07-24,1009,Aqua,MODIS,30,6.2,288.4,7.3,N,0
36.407,-121.8537,327.2,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,297.9,24.1,N,0
36.4053,-121.8428,370.2,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,305.2,115.9,N,0
36.4037,-121.8319,375,1,1,2016-07-24,1009,Aqua,MODIS,100,6.2,306,132.7,N,0
36.3926,-121.8585,340.7,2.3,1.5,2016-07-24,1935,Terra,MODIS,75,6.2,304.2,112.3,D,0
36.3906,-121.84,332,2.3,1.5,2016-07-24,1935,Terra,MODIS,33,6.2,307.3,80,D,0
36.399,-121.8154,359.8,2.3,1.5,2016-07-24,1935,Terra,MODIS,99,6.2,308.7,264.6,D,0
36.4038,-121.8372,367.4,2.3,1.5,2016-07-24,1935,Terra,MODIS,100,6.2,313.7,337.6,D,0
36.4114,-121.8091,387.8,2.3,1.5,2016-07-24,1935,Terra,MODIS,100,6.2,305.6,614.4,D,0
36.4167,-121.8334,500,2.3,1.5,2016-07-24,1935,Terra,MODIS,100,6.2,342.5,5452.3,D,0
36.4216,-121.8564,359.8,2.3,1.5,2016-07-24,1935,Terra,MODIS,99,6.2,317.3,243.3,D,0
36.3874,-121.8356,338,2.3,1.5,2016-07-24,1935,Terra,MODIS,74,6.2,306.1,108.8,D,0
36.3958,-121.8115,352,2.3,1.5,2016-07-24,1935,Terra,MODIS,93,6.2,305.3,198.3,D,0
36.4008,-121.8336,365.8,2.3,1.5,2016-07-24,1935,Terra,MODIS,100,6.2,314.1,316.6,D,0
36.408,-121.8044,349.5,2.3,1.5,2016-07-24,1935,Terra,MODIS,93,6.2,300.7,184.3,D,0
36.4135,-121.8291,477.2,2.3,1.5,2016-07-24,1935,Terra,MODIS,100,6.2,334.3,3837.4,D,0
36.4186,-121.8519,383.4,2.3,1.5,2016-07-24,1935,Terra,MODIS,100,6.2,318.3,532.4,D,0
36.4264,-121.8252,402.6,2.3,1.5,2016-07-24,1935,Terra,MODIS,100,6.2,315.6,891.9,D,0
36.4318,-121.8493,381.4,2.3,1.5,2016-07-24,1935,Terra,MODIS,100,6.2,318.3,508,D,0
36.3856,-121.8171,326.7,2.3,1.5,2016-07-24,1935,Terra,MODIS,17,6.2,300.7,58.6,D,0
36.3773,-121.842,338.3,2.3,1.5,2016-07-24,1935,Terra,MODIS,73,6.2,299.3,113.2,D,0
36.3462,-121.826,340.7,2.3,1.5,2016-07-24,1935,Terra,MODIS,86,6.2,302.2,136.8,D,0
36.3773,-121.8363,347.3,1,1,2016-07-24,2112,Aqua,MODIS,91,6.2,308.2,51.4,D,0
36.3992,-121.8166,373.3,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,297.6,127.2,D,0
36.3973,-121.8284,388.2,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,312.1,185.2,D,0
36.3428,-121.8216,357.1,1,1,2016-07-24,2112,Aqua,MODIS,98,6.2,308.7,77.2,D,0
36.341,-121.8329,343.6,1,1,2016-07-24,2112,Aqua,MODIS,87,6.2,307.3,46.6,D,0
36.3519,-121.8232,338.9,1,1,2016-07-24,2112,Aqua,MODIS,82,6.2,305.4,37.5,D,0
36.3501,-121.8345,344.9,1,1,2016-07-24,2112,Aqua,MODIS,88,6.2,312.1,48.6,D,0
36.3483,-121.8462,344.1,1,1,2016-07-24,2112,Aqua,MODIS,88,6.2,311.5,47.7,D,0
36.3792,-121.8244,358.6,1,1,2016-07-24,2112,Aqua,MODIS,99,6.2,305.2,79,D,0
36.3882,-121.8267,397,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,315.7,240,D,0
36.3845,-121.85,347,1,1,2016-07-24,2112,Aqua,MODIS,54,6.2,315.9,48.6,D,0
36.3827,-121.8618,349.7,1,1,2016-07-24,2112,Aqua,MODIS,77,6.2,306.4,56.3,D,0
36.4298,-121.8604,342.1,1,1,2016-07-24,2112,Aqua,MODIS,36,6.2,323.9,30.1,D,0
36.4316,-121.8489,358.1,1,1,2016-07-24,2112,Aqua,MODIS,89,6.2,312.1,69.5,D,0
36.4226,-121.8468,385.9,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,328,170,D,0
36.4244,-121.835,386,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,314.8,173,D,0
36.4135,-121.8447,381.7,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,325.2,146.2,D,0
36.4153,-121.8331,419.8,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,326.2,399.4,D,0
36.4172,-121.8213,391.9,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,301.5,212.1,D,0
36.4045,-121.8426,373.8,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,315.8,120.1,D,0
36.4063,-121.8307,449.5,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,314.4,732.2,D,0
36.4082,-121.8192,429,1,1,2016-07-24,2112,Aqua,MODIS,100,6.2,299.7,498.8,D,0
36.3917,-121.8639,351.5,1,1,2016-07-24,2112,Aqua,MODIS,74,6.2,312.4,57.2,D,0
36.3901,-121.8147,333.1,1,1,2016-07-24,2112,Aqua,MODIS,61,6.2,297.9,27.3,D,0
36.493,-121.9033,326.4,1.7,1.3,2016-07-25,0638,Terra,MODIS,100,6.2,289.1,61,N,0
36.4303,-121.8534,306.1,1.7,1.3,2016-07-25,0638,Terra,MODIS,17,6.2,292.5,14.5,N,0
36.4914,-121.9211,309.2,1.7,1.3,2016-07-25,0638,Terra,MODIS,77,6.2,285,25.9,N,0
36.4321,-121.834,320.8,1.7,1.3,2016-07-25,0638,Terra,MODIS,100,6.2,296.1,40.6,N,0
36.4222,-121.8141,316.3,1.7,1.3,2016-07-25,0638,Terra,MODIS,59,6.2,295.2,29.2,N,0
36.4106,-121.8125,324.6,1.7,1.3,2016-07-25,0638,Terra,MODIS,94,6.2,298.2,46,N,0
36.3942,-121.8641,362.6,1.7,1.3,2016-07-25,0638,Terra,MODIS,100,6.2,293.5,207.9,N,0
36.3989,-121.8122,306.7,1.7,1.3,2016-07-25,0638,Terra,MODIS,15,6.2,295.5,13.4,N,0
36.3873,-121.8099,313.9,1.7,1.3,2016-07-25,0638,Terra,MODIS,72,6.2,294.6,24.1,N,0
36.3894,-121.8215,334,1.7,1.3,2016-07-25,0638,Terra,MODIS,100,6.2,296.4,72,N,0
36.3416,-121.8303,310.1,1.7,1.3,2016-07-25,0638,Terra,MODIS,67,6.2,292,21.5,N,0
36.3529,-121.8348,313.6,1.7,1.3,2016-07-25,0638,Terra,MODIS,87,6.2,294.7,27.7,N,0
36.3512,-121.8529,309.7,1.7,1.3,2016-07-25,0638,Terra,MODIS,47,6.2,292.2,22.3,N,0
36.3861,-121.8566,334.9,1.7,1.3,2016-07-25,0638,Terra,MODIS,100,6.2,294.1,78.8,N,0
36.3858,-121.8266,327.6,1.7,1.3,2016-07-25,0638,Terra,MODIS,100,6.2,296.3,54.2,N,0
36.3843,-121.8444,328.8,1.7,1.3,2016-07-25,0638,Terra,MODIS,97,6.2,295.1,59.2,N,0
