Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1991","1991","7021","Annual value","USD","213","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1991","1991","7021","Annual value","USD","397","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1991","1991","7021","Annual value","USD","509.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1991","1991","7021","Annual value","USD","197.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1992","1992","7021","Annual value","USD","202.1","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1992","1992","7021","Annual value","USD","402.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1992","1992","7021","Annual value","USD","184.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1992","1992","7021","Annual value","USD","202.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1993","1993","7021","Annual value","USD","145.1","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1993","1993","7021","Annual value","USD","416.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1993","1993","7021","Annual value","USD","221.1","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1993","1993","7021","Annual value","USD","148.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1994","1994","7021","Annual value","USD","162.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1994","1994","7021","Annual value","USD","425.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1994","1994","7021","Annual value","USD","177.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1994","1994","7021","Annual value","USD","149.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1995","1995","7021","Annual value","USD","191.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1995","1995","7021","Annual value","USD","564.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1995","1995","7021","Annual value","USD","226.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1995","1995","7021","Annual value","USD","169.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1996","1996","7021","Annual value","USD","159.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1996","1996","7021","Annual value","USD","386.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1996","1996","7021","Annual value","USD","251.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1996","1996","7021","Annual value","USD","161.1","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1997","1997","7021","Annual value","USD","129.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1997","1997","7021","Annual value","USD","329.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1997","1997","7021","Annual value","USD","231.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1997","1997","7021","Annual value","USD","132.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1998","1998","7021","Annual value","USD","122.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1998","1998","7021","Annual value","USD","329.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1998","1998","7021","Annual value","USD","182.3","","Official data"
