,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49413,40.25,-7.6652,302.3,1.5,1.2,2016-02-02,1150,Terra,MODIS,52,6.2,284.2,12.1,D,0
49414,40.7955,-8.2286,301.2,1.0,1.0,2016-02-04,1138,Terra,MODIS,45,6.2,283.8,6.9,D,0
49415,40.2481,-7.6685,326.7,1.4,1.2,2016-02-04,1317,Aqua,MODIS,85,6.2,287.3,45.5,D,0
49416,40.2448,-7.6857,343.7,1.4,1.2,2016-02-04,1317,Aqua,MODIS,93,6.2,288.6,88.8,D,0
49417,41.2891,-7.6026,300.4,1.4,1.2,2016-02-04,1318,Aqua,MODIS,36,6.2,282.1,9.5,D,0
49418,40.2459,-7.6503,303.3,1.5,1.2,2016-02-05,1400,Aqua,MODIS,37,6.2,287.1,10.2,D,0
49419,40.255,-7.6715,310.3,1.5,1.2,2016-02-05,1400,Aqua,MODIS,68,6.2,288.1,19.1,D,0
49420,40.2567,-7.6538,303.1,1.5,1.2,2016-02-05,1400,Aqua,MODIS,28,6.2,287.4,10.1,D,0
49421,40.2442,-7.6688,312.7,1.5,1.2,2016-02-05,1400,Aqua,MODIS,73,6.2,288.7,22.1,D,0
49422,41.6303,-8.0364,310.0,1.5,1.2,2016-02-05,1401,Aqua,MODIS,69,6.2,276.6,21.8,D,0
49423,41.6276,-8.0484,336.5,1.5,1.2,2016-02-05,1401,Aqua,MODIS,90,6.2,279.7,73.1,D,0
49424,41.6286,-8.0538,327.5,1.5,1.2,2016-02-05,1401,Aqua,MODIS,85,6.2,279.9,51.7,D,0
49425,40.4788,-7.7374,300.2,1.1,1.0,2016-02-23,1348,Aqua,MODIS,32,6.2,287.1,4.6,D,0
49426,41.702,-7.3572,304.3,1.4,1.2,2016-03-01,1355,Aqua,MODIS,59,6.2,288.5,9.3,D,0
49427,38.9314,-7.1462,303.2,1.0,1.0,2016-03-02,1119,Terra,MODIS,55,6.2,290.1,5.4,D,0
49428,41.6876,-7.9751,322.7,1.0,1.0,2016-03-03,1342,Aqua,MODIS,77,6.2,289.7,21.3,D,0
49429,37.6163,-8.002,308.0,1.2,1.1,2016-03-05,1329,Aqua,MODIS,63,6.2,284.0,12.3,D,0
49430,38.0274,-8.1212,335.0,1.4,1.2,2016-03-08,1400,Aqua,MODIS,89,6.2,291.8,53.2,D,0
49431,38.0258,-8.1365,350.3,1.4,1.2,2016-03-08,1400,Aqua,MODIS,96,6.2,296.0,96.0,D,0
49432,38.2801,-8.3538,305.6,1.0,1.0,2016-03-10,1348,Aqua,MODIS,62,6.2,293.3,5.3,D,0
49433,39.7044,-7.2921,301.3,1.2,1.1,2016-03-11,1113,Terra,MODIS,46,6.2,291.0,4.2,D,0
49434,41.4288,-7.6436,306.3,1.7,1.3,2016-03-12,1155,Terra,MODIS,63,6.2,282.9,17.6,D,0
49435,41.4245,-7.6231,301.2,1.7,1.3,2016-03-12,1155,Terra,MODIS,45,6.2,283.4,11.5,D,0
49436,41.4267,-7.6296,308.3,1.7,1.3,2016-03-12,1155,Terra,MODIS,67,6.2,283.6,19.5,D,0
49437,41.7457,-8.3041,302.3,1.0,1.0,2016-03-12,1336,Aqua,MODIS,52,6.2,291.9,3.6,D,0
49438,41.67,-7.8485,304.9,2.9,1.6,2016-03-13,1419,Aqua,MODIS,60,6.2,291.5,27.3,D,0
49439,40.9917,-8.0951,322.8,1.3,1.1,2016-03-14,219,Aqua,MODIS,100,6.2,276.6,38.5,N,0
49440,41.733999999999995,-8.2227,309.8,1.1,1.1,2016-03-14,1143,Terra,MODIS,69,6.2,286.0,12.1,D,0
49441,41.6164,-8.2504,300.2,1.1,1.1,2016-03-14,1143,Terra,MODIS,33,6.2,289.4,4.5,D,0
49442,40.0569,-8.2266,304.5,1.2,1.1,2016-03-14,1143,Terra,MODIS,59,6.2,288.0,9.1,D,0
49443,41.525,-8.0351,301.0,1.1,1.1,2016-03-14,1143,Terra,MODIS,33,6.2,287.4,5.0,D,0
49444,41.5342,-8.0318,311.1,1.1,1.1,2016-03-14,1143,Terra,MODIS,71,6.2,287.0,12.9,D,0
49445,40.4842,-7.4725,308.5,1.2,1.1,2016-03-14,1324,Aqua,MODIS,53,6.2,287.9,10.0,D,0
49446,40.9949,-7.9913,304.3,1.2,1.1,2016-03-14,1324,Aqua,MODIS,47,6.2,284.9,7.6,D,0
49447,41.7904,-7.9976,300.6,1.2,1.1,2016-03-14,1324,Aqua,MODIS,8,6.2,288.4,3.7,D,0
49448,41.7292,-8.231,305.6,1.2,1.1,2016-03-14,1324,Aqua,MODIS,62,6.2,287.7,8.5,D,0
49449,40.9854,-7.9879999999999995,313.7,1.2,1.1,2016-03-14,1324,Aqua,MODIS,74,6.2,286.5,16.6,D,0
49450,40.4747,-7.4698,312.7,1.2,1.1,2016-03-14,1324,Aqua,MODIS,73,6.2,289.7,14.6,D,0
49451,40.4723,-7.4834,308.9,1.2,1.1,2016-03-14,1324,Aqua,MODIS,68,6.2,290.9,11.0,D,0
49452,40.2748,-6.945,301.4,1.1,1.1,2016-03-14,1324,Aqua,MODIS,47,6.2,290.6,4.6,D,0
49453,40.2727,-6.9579,304.2,1.1,1.1,2016-03-14,1324,Aqua,MODIS,58,6.2,291.0,6.8,D,0
49454,41.7881,-8.0107,307.7,1.2,1.1,2016-03-14,1324,Aqua,MODIS,66,6.2,287.8,9.2,D,0
49455,41.7975,-8.0139,307.6,1.2,1.1,2016-03-14,1324,Aqua,MODIS,63,6.2,288.4,9.1,D,0
49456,41.9547,-6.5903,315.7,1.0,1.0,2016-03-16,1131,Terra,MODIS,76,6.2,288.9,14.7,D,0
49457,41.4097,-7.7417,311.9,1.0,1.0,2016-03-16,1131,Terra,MODIS,72,6.2,288.7,10.5,D,0
49458,41.9212,-7.0396,301.1,1.5,1.2,2016-03-16,1312,Aqua,MODIS,44,6.2,288.8,6.4,D,0
49459,41.0257,-8.1043,307.9,1.5,1.2,2016-03-24,1401,Aqua,MODIS,66,6.2,293.0,11.7,D,0
49460,40.4573,-7.4865,303.2,1.6,1.2,2016-03-24,1401,Aqua,MODIS,55,6.2,291.4,8.3,D,0
49461,41.3545,-7.9694,315.0,1.5,1.2,2016-03-24,1401,Aqua,MODIS,75,6.2,292.9,22.1,D,0
49462,38.9448,-7.0685,307.6,1.0,1.0,2016-04-01,1131,Terra,MODIS,60,6.2,295.4,5.3,D,0
49463,41.9203,-6.5842,301.4,1.4,1.2,2016-04-01,1312,Aqua,MODIS,45,6.2,288.5,8.0,D,0
49464,40.225,-7.7056,314.4,1.5,1.2,2016-04-06,1149,Terra,MODIS,75,6.2,291.0,21.9,D,0
49465,38.2078,-7.3633,309.1,1.1,1.0,2016-04-06,1330,Aqua,MODIS,58,6.2,298.3,5.5,D,0
49466,41.6745,-7.8505,319.4,1.0,1.0,2016-04-06,1331,Aqua,MODIS,78,6.2,296.7,15.4,D,0
49467,41.8173,-7.9424,309.9,1.0,1.0,2016-04-06,1331,Aqua,MODIS,66,6.2,293.9,7.6,D,0
49468,41.8193,-7.9299,314.4,1.0,1.0,2016-04-06,1331,Aqua,MODIS,73,6.2,293.9,11.5,D,0
49469,40.2247,-7.7036,303.9,2.3,1.5,2016-04-07,1054,Terra,MODIS,52,6.2,291.7,14.6,D,0
49470,40.2264,-7.7286,306.0,2.3,1.5,2016-04-07,1054,Terra,MODIS,59,6.2,292.2,19.6,D,0
49471,42.0056,-8.597000000000001,304.8,2.7,1.6,2016-04-07,1054,Terra,MODIS,60,6.2,288.8,26.2,D,0
