latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.6905,-8.1203,339.2,2.7,1.6,2017-06-16,1304,Aqua,MODIS,83,6.2,316.8,80.7,D,0
37.6863,-8.1146,340.2,2.7,1.6,2017-06-16,1304,Aqua,MODIS,85,6.2,317,86.4,D,0
41.3537,-7.5409,365.1,2,1.4,2017-06-16,1305,Aqua,MODIS,100,6.2,312.7,236.6,D,0
41.3489,-7.5634,325.6,2,1.4,2017-06-16,1305,Aqua,MODIS,49,6.2,313.1,28.2,D,0
38.8214,-9.1899,333.6,1,1,2017-06-17,1347,Aqua,MODIS,38,6.2,313.4,10,D,0
38.8304,-9.1919,355.3,1,1,2017-06-17,1347,Aqua,MODIS,96,6.2,315,52.5,D,0
41.2364,-7.6241,305.1,2.9,1.6,2017-06-17,2313,Terra,MODIS,63,6.2,291.5,26.8,N,0
41.2344,-7.6586,308.8,2.9,1.6,2017-06-17,2313,Terra,MODIS,76,6.2,292.5,38.5,N,0
41.2369,-7.6293,308.9,2.9,1.6,2017-06-17,2313,Terra,MODIS,76,6.2,291.8,38.9,N,0
41.2351,-7.6642,305.1,2.9,1.6,2017-06-17,2313,Terra,MODIS,63,6.2,292.4,27.4,N,0
39.9369,-8.2964,330.7,3.8,1.8,2017-06-18,0147,Aqua,MODIS,100,6.2,271.2,0,N,0
39.9205,-8.2972,326.1,3.8,1.8,2017-06-18,0147,Aqua,MODIS,96,6.2,276.8,0,N,0
39.9223,-8.3441,322.2,3.8,1.8,2017-06-18,0147,Aqua,MODIS,92,6.2,270.3,0,N,0
39.9146,-8.3498,323.1,3.8,1.8,2017-06-18,0148,Aqua,MODIS,93,6.2,268.9,0,N,0
39.9289,-8.302,330.1,3.8,1.8,2017-06-18,0148,Aqua,MODIS,100,6.2,275.3,0,N,0
39.9059,-8.3462,320.9,3.8,1.8,2017-06-18,0148,Aqua,MODIS,90,6.2,270,0,N,0
40.0021,-8.1638,341.8,1.3,1.1,2017-06-18,1113,Terra,MODIS,87,6.2,305.6,50.1,D,0
