country,region_id,cal_region2,year,EM_ID,ibtracsID,emdat_impact,reference_year,emdat_impact_scaled,climada_impact,v_thresh,v_half,scale,log_ratio,unique_ID,Associated_disaster,Surge,Rain,Flood,Slide,Other,OtherThanSurge
FJI,242,OC,1980,1980-0036,1980081S12170,2256000.0,2014,8410828.037,8395962.203815963,25.7,39.20000000000019,1.0,-0.0017690274999408555,1980-0036FJI,False,False,False,False,False,False,False
USA,840,NA2,1980,1980-0080,1980214N11330,860000000.0,2014,5264166323.0,5256769039.214461,25.7,106.80000000000116,1.0,-0.0014062029182422239,1980-0080USA,False,True,False,False,False,False,False
PHL,608,WP2,1980,1980-0099,1980296N05165,102300000.0,2014,897149786.7,897162024.7170123,25.7,58.40000000000046,1.0,1.3640903364230517e-05,1980-0099PHL,False,False,False,False,False,False,False
PHL,608,WP2,1980,1980-0133,1980126N08150,289000.0,2014,2534470.072,2539189.469429978,25.7,70.10000000000063,1.0,0.0018603529671471562,1980-0133PHL,False,False,False,False,False,False,False
PHL,608,WP2,1981,1981-0083,1981256N10150,6700000.0,2014,53489704.34,53126575.00438097,25.7,37.60000000000017,1.0,-0.006811919193183849,1981-0083PHL,False,False,False,False,False,False,False
PHL,608,WP2,1981,1981-0101,1981319N07163,35000000.0,2014,279423828.6,279356846.86058843,25.7,86.50000000000088,1.0,-0.0002397425060457116,1981-0101PHL,False,False,False,False,False,False,False
MDG,450,SI,1981,1981-0110,1981351S12060,250000000.0,2014,742274546.2,139581097.16165614,25.7,25.8,1.0,-1.671073409078529,1981-0110MDG,False,False,False,False,False,False,False
NCL,540,OC,1981,1981-0111,1981353S09172,200000.0,2014,551603.3058,552274.440755469,25.7,147.10000000000173,1.0,0.0012159589959228412,1981-0111NCL,False,False,False,False,False,False,False
PHL,608,WP2,1981,1981-0112,1981355N07149,26000000.0,2014,207571987.0,207434161.76382118,25.7,106.60000000000116,1.0,-0.0006642081889939287,1981-0112PHL,False,False,False,False,False,False,False
PHL,608,WP2,1981,1981-0134,1981176N08150,7609000.0,2014,60746740.34,60552182.26117431,25.7,37.10000000000017,1.0,-0.0032079138297121746,1981-0134PHL,False,False,False,False,False,False,False
PHL,608,WP2,1981,1981-0138,1981317N14153,167000.0,2014,1333250.8390000002,4690972.593436437,25.7,325.70000000000425,1.0,1.2580197371702908,1981-0138PHL,False,False,False,False,False,False,False
TON,776,OC,1982,1982-0034,1982058S10185,21200000.0,2014,151622251.2,151685209.31229025,25.7,78.80000000000075,1.0,0.00041514384834540725,1982-0034TON,False,False,False,False,False,False,False
JPN,392,WP4,1982,1982-0090,1982202N11165,137000000.0,2014,585717153.3,585156603.8080705,25.7,169.70000000000206,1.0,-0.0009574892790137071,1982-0090JPN,False,False,False,False,False,False,False
PHL,608,WP2,1982,1982-0093,1982227N09140,6500000.0,2014,49805902.91,49825948.18381374,25.7,136.20000000000158,1.0,0.0004023868645248155,1982-0093PHL,False,False,False,False,False,False,False
MEX,484,NA1,1982,1982-0105,1982262N12270,82400000.0,2014,586753507.8,587911847.2537119,25.7,82.70000000000081,1.0,0.0019722039544007998,1982-0105MEX,False,False,False,False,False,False,False
IND,356,NI,1982,1982-0120,1982309N11064,625420000.0,2014,6353835704.0,6333077626.494347,25.7,53.000000000000384,1.0,-0.003272363495935277,1982-0120IND,False,False,False,False,False,False,False
USA,840,NA2,1982,1982-0124,1982324N10193,230000000.0,2014,1204787041.0,139213192.72618183,25.7,25.8,1.0,-2.1580515821044957,1982-0124USA,False,False,False,False,False,False,False
PHL,608,WP2,1982,1982-0174,1982190N09148,4500000.0,2014,34481009.7,34508564.46125639,25.7,53.000000000000384,1.0,0.0007988094739415995,1982-0174PHL,False,False,False,False,False,False,False
PHL,608,WP2,1982,1982-0176,1982325N08176,5000.0,2014,38312.233,109565.70823030283,25.7,325.70000000000425,1.0,1.0507551997787803,1982-0176PHL,False,False,False,False,False,False,False
AUS,36,OC,1982,1982-0255,1982095S11138,6864000.0,2014,51906694.26,24595091.36149185,25.7,25.8,1.0,-0.7469008807919809,1982-0255AUS,False,False,False,False,False,False,False
IND,356,NI,1982,1982-0313,1982150N13087,120000000.0,2014,1219117208.0,1213968599.8401306,25.7,40.700000000000216,1.0,-0.004232169558603066,1982-0313IND,False,False,False,False,False,False,False
FJI,242,OC,1983,1983-0047,1983054S15179,50000000.0,2014,199598757.6,200079843.9117241,25.7,59.900000000000496,1.0,0.002407367030637627,1983-0047FJI,False,False,False,False,False,False,False
FJI,242,OC,1983,1983-0057,1983082S11180,851000.0,2014,3397170.854,3043079.3722346886,25.7,25.8,1.0,-0.11007302934652129,1983-0057FJI,False,False,False,False,False,False,False
PYF,258,OC,1983,1983-0071,1983097S10224,21000000.0,2014,54194671.27,54184495.53578781,25.7,80.20000000000076,1.0,-0.0001877802633475682,1983-0071PYF,False,False,False,False,False,False,False
USA,840,NA2,1983,1983-0110,1983228N27270,3000000000.0,2014,14448395154.0,14460245256.092962,25.7,113.50000000000124,1.0,0.0008198312053825238,1983-0110USA,False,False,False,False,False,False,False
HKG,344,WP4,1983,1983-0121,1983239N10183,12544000.0,2014,122247467.4,122276578.59697206,25.7,247.1000000000032,1.0,0.0002381049846520409,1983-0121HKG,False,False,False,False,False,False,False
IND,356,NI,1983,1983-0129,1983274N18089,510000000.0,2014,4764703292.0,4789699612.880395,25.7,33.80000000000011,1.0,0.005232431196178048,1983-0129IND,False,False,False,False,False,False,False
MDG,450,SI,1983,1983-0157,1983339S10065,25000000.0,2014,75988123.11,76350597.59682204,25.7,34.90000000000013,1.0,0.004758805498650308,1983-0157MDG,False,False,False,False,False,False,False
MDG,450,SI,1984,1984-0034,1984094S10080,250000000.0,2014,907770830.7,395535661.2797569,25.7,25.8,1.0,-0.8307510069213122,1984-0034MDG,False,False,False,False,False,False,False
PHL,608,WP2,1984,1984-0105,1984302N00149,96600000.0,2014,875268514.8,874308890.01966,25.7,54.400000000000404,1.0,-0.0010969790464003784,1984-0105PHL,False,False,False,False,False,False,False
IND,356,NI,1984,1984-0110,1984314N09088,35000000.0,2014,336397308.3,336760286.31919783,25.7,153.50000000000182,1.0,0.0010784341060056026,1984-0110IND,False,False,False,False,False,False,False
FJI,242,OC,1985,1985-0044,1985070S17175,3000000.0,2014,11785953.11,11773200.92680731,25.7,99.30000000000105,1.0,-0.001082567261810613,1985-0044FJI,False,False,False,False,False,False,False
