cal_region2,v_half,total_impact_EMDAT_scaled,total_impact_CLIMADA,log_ratio_total_impact
NA1,66.30000000000058,135352357369.4079,135468007533.72778,0.0008540729305290113
WP3,112.80000000000123,188937120933.8891,189185414370.3948,0.0013132963471369572
NA2,89.20000000000091,667218532566.2063,667059492325.1696,-0.00023839145788662745
NI,70.80000000000064,84497637586.661,84720185679.68622,0.002630316559318587
WP1,66.40000000000057,18120388353.80415,18091883903.657536,-0.001574298118113481
WP4,190.50000000000242,67037068336.95348,67070615002.477905,0.0005002944706639562
WP2,188.4000000000024,26387273439.528103,26384755071.13929,-9.544330440946774e-05
OC,64.10000000000055,16833578490.046299,16826202577.10068,-0.00043826268798157793
SI,52.40000000000038,3740392803.7739005,3752894785.130195,0.0033368512307362995
GLB,110.1000000000012,1208124349880.2703,1207019218869.3606,-0.0009151680275585354
